date,market,category,commodity,unit,price,H-date
1/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,1/15/2011
1/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,1/15/2011
1/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.5,1/15/2011
1/15/2011,National Average,pulses and nuts,Pulses,KG,1.2,1/15/2011
2/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2/15/2011
2/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.07,2/15/2011
2/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.6,2/15/2011
2/15/2011,National Average,pulses and nuts,Pulses,KG,1.27,2/15/2011
3/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,3/15/2011
3/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.04,3/15/2011
3/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,3/15/2011
3/15/2011,National Average,pulses and nuts,Pulses,KG,1.26,3/15/2011
4/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,4/15/2011
4/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,4/15/2011
4/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,4/15/2011
4/15/2011,National Average,pulses and nuts,Pulses,KG,1.28,4/15/2011
5/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,5/15/2011
5/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,5/15/2011
5/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.64,5/15/2011
5/15/2011,National Average,pulses and nuts,Pulses,KG,1.32,5/15/2011
6/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,6/15/2011
6/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.03,6/15/2011
6/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.54,6/15/2011
7/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,7/15/2011
7/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.98,7/15/2011
7/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,7/15/2011
7/15/2011,National Average,pulses and nuts,Pulses,KG,1.33,7/15/2011
8/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,8/15/2011
8/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.96,8/15/2011
8/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.77,8/15/2011
8/15/2011,National Average,pulses and nuts,Pulses,KG,1.21,8/15/2011
9/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,9/15/2011
9/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,9/15/2011
9/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,9/15/2011
9/15/2011,National Average,pulses and nuts,Pulses,KG,1.14,9/15/2011
10/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,10/15/2011
10/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.99,10/15/2011
10/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,10/15/2011
10/15/2011,National Average,pulses and nuts,Pulses,KG,1.08,10/15/2011
11/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,11/15/2011
11/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.91,11/15/2011
11/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,11/15/2011
11/15/2011,National Average,pulses and nuts,Pulses,KG,1.02,11/15/2011
1/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,1/15/2012
1/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.92,1/15/2012
1/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.8,1/15/2012
1/15/2012,National Average,pulses and nuts,Pulses,KG,0.99,1/15/2012
2/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2/15/2012
2/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.9,2/15/2012
2/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.66,2/15/2012
2/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,2/15/2012
3/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,3/15/2012
3/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.88,3/15/2012
3/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.65,3/15/2012
3/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,3/15/2012
4/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,4/15/2012
4/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.85,4/15/2012
4/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,4/15/2012
4/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,4/15/2012
5/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,5/15/2012
5/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.84,5/15/2012
5/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.68,5/15/2012
5/15/2012,National Average,pulses and nuts,Pulses,KG,1.02,5/15/2012
6/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,6/15/2012
6/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.82,6/15/2012
6/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,6/15/2012
6/15/2012,National Average,pulses and nuts,Pulses,KG,1.06,6/15/2012
7/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,7/15/2012
7/15/2012,National Average,cereals and tubers,Potatoes,KG,0.58,7/15/2012
7/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.12,7/15/2012
7/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.52,7/15/2012
7/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.18,7/15/2012
7/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.27,7/15/2012
7/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.71,7/15/2012
7/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.53,7/15/2012
7/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,7/15/2012
7/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,7/15/2012
7/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,7/15/2012
7/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,7/15/2012
7/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.99,7/15/2012
7/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,7/15/2012
7/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.91,7/15/2012
7/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,7/15/2012
7/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,7/15/2012
7/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.92,7/15/2012
7/15/2012,National Average,vegetables and fruits,Bananas,KG,0.82,7/15/2012
7/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.61,7/15/2012
7/15/2012,National Average,vegetables and fruits,Garlic,KG,1.95,7/15/2012
7/15/2012,National Average,vegetables and fruits,Onions,KG,0.51,7/15/2012
7/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.22,7/15/2012
7/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.54,7/15/2012
8/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,8/15/2012
8/15/2012,National Average,cereals and tubers,Potatoes,KG,0.64,8/15/2012
8/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,8/15/2012
8/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.57,8/15/2012
8/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.23,8/15/2012
8/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.26,8/15/2012
8/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.67,8/15/2012
8/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.38,8/15/2012
8/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,8/15/2012
8/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,8/15/2012
8/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,8/15/2012
8/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,8/15/2012
8/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.88,8/15/2012
8/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,8/15/2012
8/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.91,8/15/2012
8/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,8/15/2012
8/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,8/15/2012
8/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.94,8/15/2012
8/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,8/15/2012
8/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.69,8/15/2012
8/15/2012,National Average,vegetables and fruits,Garlic,KG,2.2,8/15/2012
8/15/2012,National Average,vegetables and fruits,Onions,KG,0.58,8/15/2012
8/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.09,8/15/2012
8/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.79,8/15/2012
9/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,9/15/2012
9/15/2012,National Average,cereals and tubers,Potatoes,KG,0.7,9/15/2012
9/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.46,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.2,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.16,9/15/2012
9/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,9/15/2012
9/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.61,9/15/2012
9/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,9/15/2012
9/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,9/15/2012
9/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,9/15/2012
9/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,9/15/2012
9/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.88,9/15/2012
9/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,9/15/2012
9/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.88,9/15/2012
9/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,9/15/2012
