date,market,category,commodity,unit,price,H-date
1/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,10/02/1432
1/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,11/02/1432
1/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.5,12/02/1432
1/15/2011,National Average,pulses and nuts,Pulses,KG,1.2,13/02/1432
2/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,14/02/1432
2/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.07,15/02/1432
2/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.6,16/02/1432
2/15/2011,National Average,pulses and nuts,Pulses,KG,1.27,17/02/1432
3/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,10/04/1432
3/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.04,10/04/1432
3/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,10/04/1432
3/15/2011,National Average,pulses and nuts,Pulses,KG,1.26,10/04/1432
4/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,12/05/1432
4/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,12/05/1432
4/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,12/05/1432
4/15/2011,National Average,pulses and nuts,Pulses,KG,1.28,12/05/1432
5/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,12/06/1432
5/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,12/06/1432
5/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.64,12/06/1432
5/15/2011,National Average,pulses and nuts,Pulses,KG,1.32,12/06/1432
6/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,14/07/1432
6/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.03,14/07/1432
6/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.54,14/07/1432
7/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,14/08/1432
7/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.98,14/08/1432
7/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,14/08/1432
7/15/2011,National Average,pulses and nuts,Pulses,KG,1.33,14/08/1432
8/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,16/09/1432
8/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.96,16/09/1432
8/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.77,16/09/1432
8/15/2011,National Average,pulses and nuts,Pulses,KG,1.21,16/09/1432
9/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,17/10/1432
9/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,17/10/1432
9/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,17/10/1432
9/15/2011,National Average,pulses and nuts,Pulses,KG,1.14,17/10/1432
10/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,18/11/1432
10/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.99,18/11/1432
10/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,18/11/1432
10/15/2011,National Average,pulses and nuts,Pulses,KG,1.08,18/11/1432
11/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,19/12/1432
11/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.91,19/12/1432
11/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,19/12/1432
11/15/2011,National Average,pulses and nuts,Pulses,KG,1.02,19/12/1432
1/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,21/02/1433
1/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.92,21/02/1433
1/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.8,21/02/1433
1/15/2012,National Average,pulses and nuts,Pulses,KG,0.99,21/02/1433
2/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,23/03/1433
2/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.9,23/03/1433
2/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.66,23/03/1433
2/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,23/03/1433
3/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,22/04/1433
3/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.88,22/04/1433
3/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.65,22/04/1433
3/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,22/04/1433
4/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,24/05/1433
4/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.85,24/05/1433
4/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,24/05/1433
4/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,24/05/1433
5/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,24/06/1433
5/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.84,24/06/1433
5/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.68,24/06/1433
5/15/2012,National Average,pulses and nuts,Pulses,KG,1.02,24/06/1433
6/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,26/07/1433
6/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.82,26/07/1433
6/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,26/07/1433
6/15/2012,National Average,pulses and nuts,Pulses,KG,1.06,26/07/1433
7/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,26/08/1433
7/15/2012,National Average,cereals and tubers,Potatoes,KG,0.58,26/08/1433
7/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.12,26/08/1433
7/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.52,26/08/1433
7/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.18,26/08/1433
7/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.27,26/08/1433
7/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.71,26/08/1433
7/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.53,26/08/1433
7/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,26/08/1433
7/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,26/08/1433
7/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,26/08/1433
7/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,26/08/1433
7/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.99,26/08/1433
7/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,26/08/1433
7/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.91,26/08/1433
7/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,26/08/1433
7/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,26/08/1433
7/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.92,26/08/1433
7/15/2012,National Average,vegetables and fruits,Bananas,KG,0.82,26/08/1433
7/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.61,26/08/1433
7/15/2012,National Average,vegetables and fruits,Garlic,KG,1.95,26/08/1433
7/15/2012,National Average,vegetables and fruits,Onions,KG,0.51,26/08/1433
7/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.22,26/08/1433
7/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.54,26/08/1433
8/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,28/09/1433
8/15/2012,National Average,cereals and tubers,Potatoes,KG,0.64,28/09/1433
8/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,28/09/1433
8/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.57,28/09/1433
8/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.23,28/09/1433
8/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.26,28/09/1433
8/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.67,28/09/1433
8/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.38,28/09/1433
8/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,28/09/1433
8/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,28/09/1433
8/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,28/09/1433
8/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,28/09/1433
8/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.88,28/09/1433
8/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,28/09/1433
8/15/2012,National Average,pulses and nuts,Chickpeas,KG,1.91,28/09/1433
8/15/2012,National Average,pulses and nuts,Lentils,KG,1.24,28/09/1433
8/15/2012,National Average,pulses and nuts,Pulses,KG,1.5,28/09/1433
8/15/2012,National Average,vegetables and fruits,Apples (red),KG,1.94,28/09/1433
8/15/2012,National Average,vegetables and fruits,Bananas,KG,0.85,28/09/1433
8/15/2012,National Average,vegetables and fruits,Cucumbers,KG,0.69,28/09/1433
8/15/2012,National Average,vegetables and fruits,Garlic,KG,2.2,28/09/1433
8/15/2012,National Average,vegetables and fruits,Onions,KG,0.58,28/09/1433
8/15/2012,National Average,vegetables and fruits,Oranges (big size),KG,1.09,28/09/1433
8/15/2012,National Average,vegetables and fruits,Tomatoes,KG,0.79,28/09/1433
9/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,29/10/1433
9/15/2012,National Average,cereals and tubers,Potatoes,KG,0.7,29/10/1433
9/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.1,29/10/1433
9/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.46,29/10/1433
9/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.2,29/10/1433
9/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.16,29/10/1433
9/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,29/10/1433
9/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.61,29/10/1433
