iso_code,continent,location,date,new_cases,new_deaths
JOR,Asia,Jordan,3/3/2020,1,
JOR,Asia,Jordan,3/4/2020,0,
JOR,Asia,Jordan,3/5/2020,0,
JOR,Asia,Jordan,3/6/2020,0,
JOR,Asia,Jordan,3/7/2020,0,
JOR,Asia,Jordan,3/8/2020,0,
JOR,Asia,Jordan,3/9/2020,0,
JOR,Asia,Jordan,3/10/2020,0,
JOR,Asia,Jordan,3/11/2020,0,
JOR,Asia,Jordan,3/12/2020,0,
JOR,Asia,Jordan,3/13/2020,0,
JOR,Asia,Jordan,3/14/2020,0,
JOR,Asia,Jordan,3/15/2020,7,
JOR,Asia,Jordan,3/16/2020,9,
JOR,Asia,Jordan,3/17/2020,17,
JOR,Asia,Jordan,3/18/2020,18,
JOR,Asia,Jordan,3/19/2020,17,
JOR,Asia,Jordan,3/20/2020,16,
JOR,Asia,Jordan,3/21/2020,0,
JOR,Asia,Jordan,3/22/2020,27,
JOR,Asia,Jordan,3/23/2020,15,
JOR,Asia,Jordan,3/24/2020,27,
JOR,Asia,Jordan,3/25/2020,18,
JOR,Asia,Jordan,3/26/2020,40,
JOR,Asia,Jordan,3/27/2020,23,1
JOR,Asia,Jordan,3/28/2020,11,0
JOR,Asia,Jordan,3/29/2020,13,2
JOR,Asia,Jordan,3/30/2020,9,2
JOR,Asia,Jordan,3/31/2020,6,0
JOR,Asia,Jordan,4/1/2020,4,0
JOR,Asia,Jordan,4/2/2020,21,0
JOR,Asia,Jordan,4/3/2020,11,0
JOR,Asia,Jordan,4/4/2020,13,0
JOR,Asia,Jordan,4/5/2020,22,0
JOR,Asia,Jordan,4/6/2020,4,1
JOR,Asia,Jordan,4/7/2020,4,0
JOR,Asia,Jordan,4/8/2020,5,0
JOR,Asia,Jordan,4/9/2020,14,1
JOR,Asia,Jordan,4/10/2020,0,0
JOR,Asia,Jordan,4/11/2020,9,0
JOR,Asia,Jordan,4/12/2020,8,0
JOR,Asia,Jordan,4/13/2020,2,0
JOR,Asia,Jordan,4/14/2020,6,0
JOR,Asia,Jordan,4/15/2020,4,0
JOR,Asia,Jordan,4/16/2020,1,0
JOR,Asia,Jordan,4/17/2020,5,0
JOR,Asia,Jordan,4/18/2020,6,0
JOR,Asia,Jordan,4/19/2020,4,0
JOR,Asia,Jordan,4/20/2020,8,0
JOR,Asia,Jordan,4/21/2020,3,0
JOR,Asia,Jordan,4/22/2020,7,0
JOR,Asia,Jordan,4/23/2020,2,0
JOR,Asia,Jordan,4/24/2020,4,0
JOR,Asia,Jordan,4/25/2020,3,0
JOR,Asia,Jordan,4/26/2020,3,0
JOR,Asia,Jordan,4/27/2020,2,0
JOR,Asia,Jordan,4/28/2020,0,1
JOR,Asia,Jordan,4/29/2020,2,0
JOR,Asia,Jordan,4/30/2020,2,0
JOR,Asia,Jordan,5/1/2020,6,0
JOR,Asia,Jordan,5/2/2020,1,1
JOR,Asia,Jordan,5/3/2020,1,0
JOR,Asia,Jordan,5/4/2020,4,0
JOR,Asia,Jordan,5/5/2020,6,0
JOR,Asia,Jordan,5/6/2020,2,0
JOR,Asia,Jordan,5/7/2020,21,0
JOR,Asia,Jordan,5/8/2020,14,0
JOR,Asia,Jordan,5/9/2020,14,0
JOR,Asia,Jordan,5/10/2020,18,0
JOR,Asia,Jordan,5/11/2020,22,0
JOR,Asia,Jordan,5/12/2020,14,0
JOR,Asia,Jordan,5/13/2020,6,0
JOR,Asia,Jordan,5/14/2020,4,0
JOR,Asia,Jordan,5/15/2020,10,0
JOR,Asia,Jordan,5/16/2020,11,0
JOR,Asia,Jordan,5/17/2020,6,0
JOR,Asia,Jordan,5/18/2020,16,0
JOR,Asia,Jordan,5/19/2020,20,0
JOR,Asia,Jordan,5/20/2020,23,0
JOR,Asia,Jordan,5/21/2020,12,0
JOR,Asia,Jordan,5/22/2020,16,0
JOR,Asia,Jordan,5/23/2020,4,0
JOR,Asia,Jordan,5/24/2020,4,0
JOR,Asia,Jordan,5/25/2020,3,0
JOR,Asia,Jordan,5/26/2020,7,0
JOR,Asia,Jordan,5/27/2020,2,0
JOR,Asia,Jordan,5/28/2020,8,0
JOR,Asia,Jordan,5/29/2020,2,0
JOR,Asia,Jordan,5/30/2020,4,0
JOR,Asia,Jordan,5/31/2020,5,0
JOR,Asia,Jordan,6/1/2020,7,0
JOR,Asia,Jordan,6/2/2020,9,0
JOR,Asia,Jordan,6/3/2020,2,0
JOR,Asia,Jordan,6/4/2020,8,0
JOR,Asia,Jordan,6/5/2020,19,0
JOR,Asia,Jordan,6/6/2020,11,0
JOR,Asia,Jordan,6/7/2020,13,0
JOR,Asia,Jordan,6/8/2020,23,0
JOR,Asia,Jordan,6/9/2020,14,0
JOR,Asia,Jordan,6/10/2020,18,0
JOR,Asia,Jordan,6/11/2020,27,0
JOR,Asia,Jordan,6/12/2020,25,0
JOR,Asia,Jordan,6/13/2020,38,0
JOR,Asia,Jordan,6/14/2020,8,0
JOR,Asia,Jordan,6/15/2020,18,0
JOR,Asia,Jordan,6/16/2020,2,0
JOR,Asia,Jordan,6/17/2020,6,0
JOR,Asia,Jordan,6/18/2020,14,0
JOR,Asia,Jordan,6/19/2020,7,0
JOR,Asia,Jordan,6/20/2020,7,0
JOR,Asia,Jordan,6/21/2020,18,0
JOR,Asia,Jordan,6/22/2020,9,0
JOR,Asia,Jordan,6/23/2020,5,0
JOR,Asia,Jordan,6/24/2020,24,0
JOR,Asia,Jordan,6/25/2020,15,0
JOR,Asia,Jordan,6/26/2020,18,0
JOR,Asia,Jordan,6/27/2020,7,0
JOR,Asia,Jordan,6/28/2020,10,0
JOR,Asia,Jordan,6/29/2020,7,0
JOR,Asia,Jordan,6/30/2020,4,0
JOR,Asia,Jordan,7/1/2020,1,0
JOR,Asia,Jordan,7/2/2020,3,0
JOR,Asia,Jordan,7/3/2020,11,1
JOR,Asia,Jordan,7/4/2020,3,0
JOR,Asia,Jordan,7/5/2020,14,0
JOR,Asia,Jordan,7/6/2020,3,0
JOR,Asia,Jordan,7/7/2020,2,0
JOR,Asia,Jordan,7/8/2020,0,0
JOR,Asia,Jordan,7/9/2020,0,0
JOR,Asia,Jordan,7/10/2020,4,0
JOR,Asia,Jordan,7/11/2020,3,0
JOR,Asia,Jordan,7/12/2020,3,0
JOR,Asia,Jordan,7/13/2020,4,0
JOR,Asia,Jordan,7/14/2020,15,0
JOR,Asia,Jordan,7/15/2020,3,0
JOR,Asia,Jordan,7/16/2020,5,0
JOR,Asia,Jordan,7/17/2020,3,0
JOR,Asia,Jordan,7/18/2020,5,1
JOR,Asia,Jordan,7/19/2020,4,0
JOR,Asia,Jordan,7/20/2020,5,0
JOR,Asia,Jordan,7/21/2020,,0
JOR,Asia,Jordan,7/22/2020,7,0
JOR,Asia,Jordan,7/23/2020,11,0
JOR,Asia,Jordan,7/24/2020,15,0
JOR,Asia,Jordan,7/25/2020,8,0
JOR,Asia,Jordan,7/26/2020,14,0
JOR,Asia,Jordan,7/27/2020,8,0
JOR,Asia,Jordan,7/28/2020,6,0
JOR,Asia,Jordan,7/29/2020,5,0
JOR,Asia,Jordan,7/30/2020,4,0
JOR,Asia,Jordan,7/31/2020,2,0
JOR,Asia,Jordan,8/1/2020,15,0
JOR,Asia,Jordan,8/2/2020,5,0
JOR,Asia,Jordan,8/3/2020,5,0
JOR,Asia,Jordan,8/4/2020,6,0
JOR,Asia,Jordan,8/5/2020,7,0
JOR,Asia,Jordan,8/6/2020,1,0
JOR,Asia,Jordan,8/7/2020,5,0
JOR,Asia,Jordan,8/8/2020,9,0
JOR,Asia,Jordan,8/9/2020,6,0
JOR,Asia,Jordan,8/10/2020,16,0
JOR,Asia,Jordan,8/11/2020,15,0
JOR,Asia,Jordan,8/12/2020,20,0
JOR,Asia,Jordan,8/13/2020,17,0
JOR,Asia,Jordan,8/14/2020,9,0
JOR,Asia,Jordan,8/15/2020,10,0
JOR,Asia,Jordan,8/16/2020,39,0
JOR,Asia,Jordan,8/17/2020,20,0
JOR,Asia,Jordan,8/18/2020,40,0
JOR,Asia,Jordan,8/19/2020,44,0
JOR,Asia,Jordan,8/20/2020,16,0
JOR,Asia,Jordan,8/21/2020,34,0
JOR,Asia,Jordan,8/22/2020,44,0
JOR,Asia,Jordan,8/23/2020,33,1
JOR,Asia,Jordan,8/24/2020,30,2
JOR,Asia,Jordan,8/25/2020,77,0
JOR,Asia,Jordan,8/26/2020,40,1
JOR,Asia,Jordan,8/27/2020,45,0
JOR,Asia,Jordan,8/28/2020,68,0
JOR,Asia,Jordan,8/29/2020,24,0
JOR,Asia,Jordan,8/30/2020,73,0
JOR,Asia,Jordan,8/31/2020,68,0
JOR,Asia,Jordan,9/1/2020,63,0
JOR,Asia,Jordan,9/2/2020,64,0
JOR,Asia,Jordan,9/3/2020,72,0
JOR,Asia,Jordan,9/4/2020,68,1
JOR,Asia,Jordan,9/5/2020,52,0
JOR,Asia,Jordan,9/6/2020,58,0
JOR,Asia,Jordan,9/7/2020,67,1
JOR,Asia,Jordan,9/8/2020,103,2
JOR,Asia,Jordan,9/9/2020,78,0
JOR,Asia,Jordan,9/10/2020,80,1
JOR,Asia,Jordan,9/11/2020,206,1
