date,market,category,commodity,unit,price,H-date
1/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-01-15
1/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,2011-01-15
1/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.5,2011-01-15
1/15/2011,National Average,pulses and nuts,Pulses,KG,1.2,2011-01-15
2/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-02-15
2/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.07,2011-02-15
2/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.6,2011-02-15
2/15/2011,National Average,pulses and nuts,Pulses,KG,1.27,2011-02-15
3/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-03-15
3/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.04,2011-03-15
3/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,2011-03-15
3/15/2011,National Average,pulses and nuts,Pulses,KG,1.26,2011-03-15
4/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-04-15
4/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,2011-04-15
4/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.62,2011-04-15
4/15/2011,National Average,pulses and nuts,Pulses,KG,1.28,2011-04-15
5/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-05-15
5/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.01,2011-05-15
5/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.64,2011-05-15
5/15/2011,National Average,pulses and nuts,Pulses,KG,1.32,2011-05-15
6/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-06-15
6/15/2011,National Average,cereals and tubers,Rice (imported),KG,1.03,2011-06-15
6/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.54,2011-06-15
7/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-07-15
7/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.98,2011-07-15
7/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,2011-07-15
7/15/2011,National Average,pulses and nuts,Pulses,KG,1.33,2011-07-15
8/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-08-15
8/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.96,2011-08-15
8/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.77,2011-08-15
8/15/2011,National Average,pulses and nuts,Pulses,KG,1.21,2011-08-15
9/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-09-15
9/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.9,2011-09-15
9/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,2011-09-15
9/15/2011,National Average,pulses and nuts,Pulses,KG,1.14,2011-09-15
10/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-10-15
10/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.99,2011-10-15
10/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.69,2011-10-15
10/15/2011,National Average,pulses and nuts,Pulses,KG,1.08,2011-10-15
11/15/2011,National Average,cereals and tubers,Bread (pita),KG,0.16,2011-11-15
11/15/2011,National Average,cereals and tubers,Rice (imported),KG,0.91,2011-11-15
11/15/2011,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,2011-11-15
11/15/2011,National Average,pulses and nuts,Pulses,KG,1.02,2011-11-15
1/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-01-15
1/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.92,2012-01-15
1/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.8,2012-01-15
1/15/2012,National Average,pulses and nuts,Pulses,KG,0.99,2012-01-15
2/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-02-15
2/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.9,2012-02-15
2/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.66,2012-02-15
2/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,2012-02-15
3/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-03-15
3/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.88,2012-03-15
3/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.65,2012-03-15
3/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,2012-03-15
4/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-04-15
4/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.85,2012-04-15
4/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.67,2012-04-15
4/15/2012,National Average,pulses and nuts,Pulses,KG,1.01,2012-04-15
5/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-05-15
5/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.84,2012-05-15
5/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.68,2012-05-15
5/15/2012,National Average,pulses and nuts,Pulses,KG,1.02,2012-05-15
6/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.16,2012-06-15
6/15/2012,National Average,cereals and tubers,Rice (imported),KG,0.82,2012-06-15
6/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.75,2012-06-15
6/15/2012,National Average,pulses and nuts,Pulses,KG,1.06,2012-06-15
7/15/2012,National Average,cereals and tubers,Bread (pita),KG,0.17,2012-07-15
7/15/2012,National Average,cereals and tubers,Potatoes,KG,0.58,2012-07-15
7/15/2012,National Average,cereals and tubers,Rice (imported),KG,1.12,2012-07-15
7/15/2012,National Average,"meat, fish and eggs",Eggs,2 KG,3.52,2012-07-15
7/15/2012,National Average,"meat, fish and eggs",Meat (beef),KG,9.18,2012-07-15
7/15/2012,National Average,"meat, fish and eggs",Meat (chicken),KG,2.27,2012-07-15
7/15/2012,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.71,2012-07-15
7/15/2012,National Average,"meat, fish and eggs",Meat (lamb),KG,11.53,2012-07-15
7/15/2012,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.31,2012-07-15
7/15/2012,National Average,milk and dairy,Milk (pasteurized),L,1.17,2012-07-15
7/15/2012,National Average,miscellaneous food,Sugar,KG,0.8,2012-07-15
7/15/2012,National Average,oil and fats,Oil (olive),KG,5.79,2012-07-15
7/15/2012,National Average,oil and fats,Oil (vegetable),1.8 L,1.99,2012-07-15
7/15/2012,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,2012-07-15
